🕘️更新时间,#genre#
2026-02-25 10:46:55,http://23.237.228.134/live5/CCTV7.m3u8

📺央视频道,#genre#
CCTV-7,http://23.237.228.134/live5/CCTV7.m3u8
CCTV-16,http://69.30.246.194/live/cctv16.m3u8

📡卫视频道,#genre#
广东卫视,http://23.237.228.134/live6/guangdong.m3u8
湖南卫视,http://23.237.228.134/live6/hunan.m3u8
湖北卫视,http://23.237.228.134/live6/hubei.m3u8
重庆卫视,http://23.237.228.134/live6/chongqing.m3u8
广西卫视,http://23.237.228.134/live6/guizhou.m3u8
贵州卫视,http://23.237.228.134/live6/hainan.m3u8
陕西卫视,http://23.237.228.134/live6/sichuan.m3u8
四川卫视,http://39.152.103.17:8089/tsfile/live/1044_1.m3u8
深圳卫视,http://23.237.228.134/live6/shenzhen.m3u8
三沙卫视,https://srs.ssws.tv/video/sstv-10/index.m3u8
